YEAR,TRIFD,FRS_ID,4. FACILITY NAME,5. STREET ADDRESS,CITY,COUNTY,8. ST,ZIP,LATITUDE,LONGITUDE,14. HORIZONTAL DATUM,PARENT_CO_NAME,PARENT_CO_DB_NUM,STANDARD_PARENT_CO_NAME,FEDERAL_FACILITY,INDUSTRY_SECTOR_CODE,INDUSTRY_SECTOR,DOC_CTRL_NUM,CHEMICAL,ELEMENTAL_METAL_INCLUDED,TRI_CHEMICAL_COMPOUND_ID,CLEAN_AIR_ACT_CHEMICAL,CLASSIFICATION,METAL,METAL_CATEGORY,CARCINOGEN,UNIT_OF_MEASURE,FUGITIVE_AIR,STACK_AIR,WATER,UNDERGROUND,UNDERGROUND_CL_I,UNDERGROUND_C_II_V,LANDFILL,RCRA_C_LANDFILL,OTHER_LANDFILLS,SURFACE_IMPNDMNT,RCRA_SURFACE_IM,OTHER_SURFACE_I,OTHER_DISPOSAL,ON_SITE_RELEASE_TOTAL,POTW_TOTAL_TRANSFERS,OFF_SITE_RELEASE_TOTAL,OFF_SITE_RECYCLED_TOTAL,OFF_SITE_ENERGY_RECOVERY_T,OFF_SITE_TREATED_TOTAL,UNCLASSIFIED,TOTAL_TRANSFER,TOTAL_RELEASES,RELEASES
2013,77009DFNDR2408E,110000460803,DEE FOUNDRIES INC,2408 EVERETT ST,HOUSTON,HARRIS,TX,77009,29.78273,-95.36292,NAD83,,,,NO,331,Primary Metals,1313211282595,Copper,NO,0007440508,NO,TRI,YES,Elemental metals,NO,Pounds,255.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,255.0,0.0,250.0,0.0,0.0,0.0,0.0,250.0,505.0,0.0
2013,77960CLTCRFMRD2,110032992153,COLETO CREEK POWER STATION,45 FM 2987,FANNIN,GOLIAD,TX,77960,28.7129,-97.2144,NAD83,VISTRA CORP,80457910.0,VISTRA CORP,NO,2211,Electric Utilities,1313211469527,Dioxin and dioxin-like compounds,NO,N150,YES,Dioxin,NO,Non_Metal,YES,Grams,0.0,0.544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.544,0.0
2013,78410KCHRFSUNTI,110000504918,FLINT HILLS RESOURCES CORPUS CHRISTI LLC - WEST PLANT,2825 SUNTIDE RD,CORPUS CHRISTI,NUECES,TX,78409,27.832011,-97.525582,NAD83,KOCH INDUSTRIES INC,6944334.0,KOCH INDUSTRIES INC,NO,324,Petroleum,1313211651411,Ethylene,NO,0000074851,NO,TRI,NO,Non_Metal,NO,Pounds,2484.0,193.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2677.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2677.0,0.0
2013,77640FNLNDHIGHW,110000755200,TOTALENERGIES PETROCHEMICALS & REFINING USA INC-PORT ARTHUR,7600 32ND ST,PORT ARTHUR,JEFFERSON,TX,77642,29.957935,-93.897484,NAD83,TOTALENERGIES HOLDINGS USA INC,,TOTALENERGIES HOLDINGS USA INC,NO,324,Petroleum,1313211707409,Mercury,NO,0007439976,YES,PBT,YES,Elemental metals,NO,Pounds,0.0,36.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.14,0.0,35.47,2.15,0.0,0.0,0.0,37.62,71.61,0.0
2013,7739WHMBLX1543B,110039074925,HM SOUTH TEXAS CONCRETE LLC - HUMBLE RMC,15403-B OLD HUMBLE RD,HUMBLE,HARRIS,TX,77396,29.944068,-95.279622,NAD83,HEIDELBERG MATERIALS US INC,2302272.0,HEIDELBERG MATERIALS US INC,NO,327,Nonmetallic Mineral Product,1313211201379,Lead,NO,0007439921,NO,PBT,YES,Elemental metals,YES,Pounds,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.0
2013,77303BLLPC1000N,110012492677,BALL METAL BEVERAGE CONTAINER CORP,1001 N FM 3083 E,CONROE,MONTGOMERY,TX,77303,30.311676,-95.406934,NAD83,BALL CORP,6419147.0,BALL CORP,NO,332,Fabricated Metals,1313210971913,Certain glycol ethers,NO,N230,YES,TRI,NO,May contain metal,NO,Pounds,23000.0,9000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32000.0,0.0,0.0,0.0,262.0,0.0,0.0,262.0,32000.0,0.0
2013,77536LBRZL41TID,110056537804,LUBRIZOL CORP DEER PARK FACILITY,41 TIDAL RD,DEER PARK,HARRIS,TX,77536,29.71747,-95.11328,NAD83,BERKSHIRE HATHAWAY INC,1024314.0,BERKSHIRE HATHAWAY INC,NO,325,Chemicals,1313211390556,Nitrate compounds (water dissociable; reportable only when in aqueous solution),NO,N511,NO,TRI,NO,May contain metal,NO,Pounds,0.0,0.0,4933.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4933.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4933.0,0.0
2013,77905NVSTS2695L,110000464391,INV NYLON CHEMICALS AMERICAS VICTORIA SITE,2695 OLD BLOOMINGTON RD NORTH,VICTORIA,VICTORIA,TX,77905,28.673056,-96.953611,NAD83,KOCH INDUSTRIES INC,6944334.0,KOCH INDUSTRIES INC,NO,325,Chemicals,1313211500867,Titanium tetrachloride,NO,0007550450,YES,TRI,NO,Individually-listed compounds that contain metal,NO,Pounds,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,250.0,0.0,0.0,0.0,0.0,250.0,255.0,0.0
2013,77643WSTMNHWY73,110035783658,VEOLIA ES TECHNICAL SOLUTIONS LLC PORT ARTHUR FACILITY,7665 HWY 73,BEAUMONT,JEFFERSON,TX,77705,29.853056,-94.095278,NAD83,VEOLIA N.A. INC.,81134987.0,VEOLIA NORTH AMERICA,NO,562,Hazardous Waste,1313211743099,"1,1,2,2-Tetrachloroethane",NO,0000079345,YES,TRI,NO,Non_Metal,YES,Pounds,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,5275.0,250.0,0.0,5525.0,9.0,0.0
2013,7900WBRNNT318SC,110017613368,BRENNTAG SOUTHWEST INC BORGER,3108 S. CEDAR ST. HWY 207 S.,BORGER,HUTCHINSON,TX,79007,35.631356,-101.399139,NAD83,BRENNTAG N.A. INC,145865148.0,BRENNTAG NORTH AMERICA INC,NO,4246,Chemical Wholesalers,1313211302548,Methanol,NO,0000067561,YES,TRI,NO,Non_Metal,NO,Pounds,136.0,3242.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3378.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3378.0,0.0
