YEAR,TRIFD,FRS_ID,FACILITY_NAME,STREET_ADDRESS,CITY,COUNTY,State,ZIP,LATITUDE,LONGITUDE,HORIZONTAL_DATUM,PARENT_CO_NAME,PARENT_CO_DB_NUM,STANDARD_PARENT_CO_NAME,FEDERAL_FACILITY,INDUSTRY_SECTOR_CODE,INDUSTRY_SECTOR,DOC_CTRL_NUM,CHEMICAL,ELEMENTAL_METAL_INCLUDED,TRI_CHEMICAL_COMPOUND_ID,CLEAN_AIR_ACT_CHEMICAL,CLASSIFICATION,METAL,METAL_CATEGORY,CARCINOGEN,UNIT_OF_MEASURE,FUGITIVE_AIR,STACK_AIR,WATER,UNDERGROUND,UNDERGROUND_CL_I,UNDERGROUND_C_II_V,LANDFILL,RCRA_C_LANDFILL,OTHER_LANDFILLS,SURFACE_IMPNDMNT,RCRA_SURFACE_IM,OTHER_SURFACE_I,OTHER_DISPOSAL,ON_SITE_RELEASE_TOTAL,POTW_TOTAL_TRANSFERS,OFF_SITE_RELEASE_TOTAL,OFF_SITE_RECYCLED_TOTAL,OFF_SITE_ENERGY_RECOVERY_T,OFF_SITE_TREATED_TOTAL,UNCLASSIFIED,TOTAL_TRANSFER,TOTAL_RELEASES,RELEASES
2021,75657NTRNT500IN,110070370398,WEST FRASER TEXAS JEFFERSON OSB,500 NEXFOR BLVD,JEFFERSON,MARION,TX,75657,32.776913,-94.359039,NAD83,WEST FRASER TIMBER CO LTD,201208675,WEST FRASER (USA) INC,NO,321,Wood Products,1321219686971,Acetaldehyde,NO,0000075070,YES,TRI,NO,Non_Metal,YES,Pounds,5.0,8473.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8478.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8478.0,0.0
2021,78226STNDR661DU,110064108488,STANDARD AERO (SAN ANTONIO) INC.,3523 GENERAL HUDNELL DR BLDG 360,SAN ANTONIO,BEXAR,TX,78226,29.377429,-98.568782,NAD83,STANDARD AERO INC,163090769,STANDARD AERO INC,NO,336,Transportation Equipment,1321220064568,Lead,NO,0007439921,NO,PBT,YES,Elemental metals,YES,Pounds,1.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02,0.0,185.0,0.0,0.0,0.0,0.0,185.0,186.02,0.0
2021,77979BPCHMTEXAS,110000502867,INEOS NITRILES USA LLC           GREEN LAKE PLANT,TEXAS HWY 185,PORT LAVACA,CALHOUN,TX,77979,28.570964,-96.83341,NAD83,INEOS US I INC,,INEOS US I INC,NO,325,Chemicals,1321220243378,Molybdenum trioxide,NO,0001313275,NO,TRI,NO,Individually-listed compounds that contain metal,YES,Pounds,0.0,0.0,0.0,0.0,126440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126440.0,0.0,4440.3,0.0,0.0,0.0,0.0,4440.3,130880.3,0.0
2021,77530RCCHM2502S,110000463221,LYONDELL CHEMICAL CO,2502 SHELDON RD,CHANNELVIEW,HARRIS,TX,77530,29.816654,-95.107603,NAD83,LYONDELLBASELL FINANCE CO,194123154,LYONDELLBASELL FINANCE CO,NO,325,Chemicals,1321220426845,Propionaldehyde,NO,0000123386,YES,TRI,NO,Non_Metal,NO,Pounds,99.0,513.0,0.0,0.0,1784.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2396.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2396.0,0.0
2021,7704WPRLND3935S,110037874645,HM SOUTH TEXAS CONCRETE LLC - PEARLAND RMC,3935 SCHURMIER RD,HOUSTON,HARRIS,TX,77047,29.60782,-95.35832,NAD83,HEIDELBERG MATERIALS US INC,002302272,HEIDELBERG MATERIALS US INC,NO,327,Nonmetallic Mineral Product,1321220554036,Mercury,NO,0007439976,YES,PBT,YES,Elemental metals,NO,Pounds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,77859HRNSTINDUS,110070283907,HEARNE STEEL CO. INC.,1011 VAUGHN LANE WITHIN INDUSTRIAL PARK,HEARNE,ROBERTSON,TX,77859,30.8666,-96.6333,NAD83,,,,NO,332,Fabricated Metals,1321220065217,Lead compounds,NO,N420,YES,PBT,YES,Metal complound categories,NO,Pounds,0.0,1.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.16,0.0,71.0,1454.0,0.0,0.0,0.0,1525.0,72.16,0.0
2021,79703BNCHM4113W,110000466040,SELECT CHEMISTRY - MIDLAND,4113 W INDUSTRIAL AVE,MIDLAND,MIDLAND,TX,79703,31.97001,-102.1233,NAD83,SELECT WATER SOLUTIONS LLC,195969837,SELECT WATER SOLUTIONS LLC,NO,325,Chemicals,1321220490142,Mixture,NO,MIXTURE,NO,TRI,NO,May contain metal,NO,Pounds,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
2021,75846NCRSTHWY79,110008148575,NUCOR STEEL - JEWETT TEXAS DIV,8812 HWY 79 W,JEWETT,LEON,TX,75846,31.354802,-96.165199,NAD83,NUCOR CORP,003446796,NUCOR CORP,NO,331,Primary Metals,1321219731674,Mercury  And Mercury Compounds,YES,N458,YES,PBT,YES,Metal complound categories,NO,Pounds,0.03,573.34,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,574.37,0.0,0.0,0.8,0.0,0.0,0.0,0.8,574.37,0.0
2021,78012SNMGL6200F,110000464426,SAN MIGUEL ELECTRIC COOPERATIVE INC,6200 FM 3387,CHRISTINE,ATASCOSA,TX,78012,28.704455,-98.477218,NAD83,,,SAN MIGUEL ELECTRIC COOPERATIVE INC,NO,2211,Electric Utilities,1321220248076,Nickel compounds,NO,N495,YES,TRI,YES,Metal complound categories,YES,Pounds,0.01,10.4,0.0,0.0,0.0,0.0,0.0,0.0,16720.0,0.0,0.0,0.0,0.0,16730.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16730.41,0.0
2021,77053WTCRG15200,110000461884,NOURYON SURFACE CHEMISTRY LLC,15200 ALMEDA RD,HOUSTON,HARRIS,TX,77053,29.583889,-95.433889,NAD83,NOURYON USA LLC,118856176,NOURYON CHEMICALS LLC,NO,325,Chemicals,1321219968005,Acrylic acid,NO,0000079107,YES,TRI,NO,Non_Metal,NO,Pounds,1.0,6.0,0.0,0.0,638.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,645.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,645.0,0.0
2021,77640TXCRFNORTH,110000464024,MOTIVA-PORT ARTHUR REFINERY,2555 SAVANNAH AVE,PORT ARTHUR,JEFFERSON,TX,77640,29.883333,-93.958333,NAD83,ARAMCO SERVICES CO,072200694,ARAMCO SERVICES CO,NO,324,Petroleum,1321220105136,Carbon disulfide,NO,0000075150,YES,TRI,NO,Non_Metal,NO,Pounds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,76010GNRLM2525E,110001868658,GMC TRUCK GROUP ARLINGTON ASSEMBLY PLANT,2525 E ABRAMS ST,ARLINGTON,TARRANT,TX,76010,32.73533,-97.06772,NAD83,GENERAL MOTORS LLC,831247536,GENERAL MOTORS LLC,NO,336,Transportation Equipment,1321220227413,n-Butyl alcohol,NO,0000071363,NO,TRI,NO,Non_Metal,NO,Pounds,220.0,36000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36220.0,0.0,0.0,27000.0,97.0,0.0,0.0,27097.0,36220.0,0.0
2021,77640CHVRN2001S,110020148008,CHEVRON PHILLIPS CHEMICAL CO,2001 S GULFWAY DR,PORT ARTHUR,JEFFERSON,TX,77640,29.850396,-93.977222,NAD83,CHEVRON CORP & PHILLIPS 66 CO,,CHEVRON CORP,NO,325,Chemicals,1321220240927,Naphthalene,NO,0000091203,YES,TRI,NO,Non_Metal,YES,Pounds,136.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.0,0.0,0.0,0.0,195.0,398992.0,0.0,399187.0,137.0,0.0
2021,75238DPNCX13555,110000457693,DAP GLOBAL INC,13555 JUPITER RD,DALLAS,DALLAS,TX,75238,32.88218,-96.68462,NAD83,RPM INTERNATIONAL INC,825465581,RPM INTERNATIONAL INC,NO,325,Chemicals,1321219765791,Ethylene glycol,NO,0000107211,YES,TRI,NO,Non_Metal,NO,Pounds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,79922GLBLL35DNI,110040366788,GLOBAL ALTERNATIVE FUELS LLC,3500 DONIPHAN DR,EL PASO,EL PASO,TX,79922,31.80606,-106.54552,NAD83,,,,NO,325,Chemicals,1321219819265,Methanol,NO,0000067561,YES,TRI,NO,Non_Metal,NO,Pounds,4880.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4880.53,0.0,1495.12,0.0,0.0,0.0,0.0,1495.12,6375.65,0.0
2021,75686WLSHPFM173,110013349947,AMERICAN ELECTRIC POWER WELSH PLANT,1187 COUNTY ROAD 1120,PITTSBURG,CAMP,TX,75686,33.055134,-94.83983,NAD83,AMERICAN ELECTRIC POWER,006979868,AMERICAN ELECTRIC POWER,NO,2211,Electric Utilities,1321221517562,Manganese  And Manganese Compounds,YES,N450,YES,TRI,YES,Metal complound categories,NO,Pounds,250.0,274.0,130000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26000.0,5.0,156529.0,0.0,0.0,440.0,0.0,0.0,0.0,440.0,156529.0,0.0
