Year,TRIFD,FRS_ID,Facility_Name,Street_Address,City,County,State,ZIP,Latitude,Longitude,Horizontal_Datum,Parent_Co_Name,Standard_Parent_Co_Name,Federal_Facilty,Industry_Sector_Code,Industry_Sector,Doc_Ctrl_Num,Chemical,Elemental_Metal_Included,Clean_air_act_chemical,Classification,Metal,Metal_Category,Carcinogen,Unit_of_measure,Fugitive_air,Stack_air,Water,Underground,Underground_CL_I,Underground_C_II-V,LANDFILLS,RCRA_C_Landfills,Other_Landfills,Surface_Impndmt,RCRA_Surface_IM,Other_Surface_I,Other_Disposal,On_Site_Release_Total,POTW_Total_Transfers,Off_Site_Release_Total,Off_Site_Recycled_Total,Off_Site_Energy_Recovery_T,Off_Site_Treated_Total,Unclassified,Total_Transfer,Total_Releases,Releases
1987,78343CLNSNONEMI,1.10001E+11,TICONA POLYMERS INC,5738 COUNTY RD 4,BISHOP,NUECES,TX,78343,27.569714,-97.83493,NAD83,CELANESE CORP,CELANESE CORP,NO,325,Chemicals,1.38701E+12,Benzene,NO,YES,TRI,NO,Non_Metal,YES,Pounds,31000,25000,300,0,0,0,4,0,0,0,0,0,0,56304,0,0,0,0,0,0,0,56304,0
1987,77507KZCHM13000,1.10044E+11,NOURYON FUNCTIONAL CHEMICALS LLC,12900 BAY PARK RD,PASADENA,HARRIS,TX,77507,29.639444,-95.062778,NAD83,NOURYON USA LLC,NOURYON CHEMICALS LLC,NO,325,Chemicals,1.38701E+12,Sodium hydroxide (solution),NO,NO,TRI,NO,Non_Metal,NO,Pounds,250,250,0,0,0,0,0,0,0,0,0,0,0,500,120000,0,0,0,120000,0,120000,500,0
1987,75607TXSSTOFFHI,1.10001E+11,EASTMAN CHEMICAL CO TEXAS OPERATIONS,300 KODAK BLVD,LONGVIEW,HARRISON,TX,75602,32.438056,-94.69,NAD83,EASTMAN CHEMICAL CO,EASTMAN CHEMICAL CO,NO,325,Chemicals,1.38701E+12,Nickel compounds,NO,YES,TRI,YES,Metal complound categories,YES,Pounds,0,0,0,0,0,0,2200,0,0,0,0,0,0,2200,0,0,0,0,0,0,0,2200,0
1987,77541THDWCBUILD,1.10008E+11,DOW CHEMICAL CO FREEPORT FACILITY,2301 N BRAZOSPORT BLVD,FREEPORT,BRAZORIA,TX,775413257,28.980147,-95.342272,NAD83,THE DOW CHEMICAL CO,DOW INC,NO,325,Chemicals,1.38701E+12,Certain glycol ethers,NO,YES,TRI,NO,May contain metal,NO,Pounds,510,64,0,0,0,0,0,0,0,0,0,0,0,574,0,0,0,0,0,0,0,574,0
1987,77507LPSPR9802F,1.1E+11,SUNOCO CHEMICALS INC,9802 FAIRMONT PKWY,PASADENA,HARRIS,TX,77507,29.65101,-95.08707,NAD83,SUNOCO INC,,NO,325,Chemicals,1.38701E+12,Ethylene,NO,NO,TRI,NO,Non_Metal,NO,Pounds,22000,250,0,0,0,0,0,0,0,0,0,0,0,22250,0,0,0,0,0,0,0,22250,0
1987,77044VNSCP10521,1.1E+11,DELTA NORTH CHANNEL,10521 SHELDON RD,HOUSTON,HARRIS,TX,77044,29.86819,-95.12822,NAD83,DELTA PETROLEUM CO INC,,NO,332,Fabricated Metals,1.38701E+12,Hydrazine,NO,YES,TRI,NO,Non_Metal,YES,Pounds,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0
1987,77017MBLCH9822L,1.1E+11,INVISTA HOUSTON,9822 LA PORTE FWY,HOUSTON,HARRIS,TX,77017,29.706248,-95.251079,NAD83,KOCH INDUSTRIES INC,KOCH INDUSTRIES INC,NO,325,Chemicals,1.38701E+12,Sodium hydroxide (solution),NO,NO,TRI,NO,Non_Metal,NO,Pounds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73000,0,0,0,0,73000,73000,0
1987,77701THVLS1700D,1.10001E+11,VALSPAR CORP BEAMONT,1700 DOUCETTE ST,BEAUMONT,JEFFERSON,TX,77701,30.0637,-94.077613,NAD83,VALSPAR CORP,,NO,325,Chemicals,1.38701E+12,Chromium compounds (except for chromite ore mined in the Transvaal Region),NO,YES,TRI,YES,Metal complound categories,NO,Pounds,750,0,0,0,0,0,0,0,0,0,0,0,0,750,0,750,0,0,0,0,750,1500,0
1987,78205FRDRC1617E,1.10002E+11,FRIEDRICH REFRIGERATION CO,1617 E COMMERCE,SAN ANTONIO,BEXAR,TX,78205,29.42015,-98.47162,NAD83,US NATURAL RESOURCES INC,,NO,333,Machinery,1.38701E+12,"1,1,1-Trichloroethane",NO,YES,TRI,NO,Non_Metal,NO,Pounds,0,18000,0,0,0,0,0,0,0,0,0,0,0,18000,0,0,0,0,0,0,0,18000,0
1987,77520MBYCR8500W,1.1E+11,COVESTRO LLC,8500 W BAY RD MS-21,BAYTOWN,CHAMBERS,TX,77523,29.7575,-94.903056,NAD83,COVESTRO LLC,COVESTRO LLC,NO,325,Chemicals,1.38701E+12,Acetone,NO,NO,TRI,NO,Non_Metal,NO,Pounds,19000,520,1,0,0,0,0,0,0,0,0,0,1,19522,0,0,0,0,110000,0,110000,19522,0
