YEAR,TRIFD,FRS_ID,FACILITY_NAME,STREET_ADDRESS,CITY,COUNTY,State,ZIP,LATITUDE,LONGITUDE,HORIZONTAL_DATUM,PARENT_CO_NAME,PARENT_CO_DB_NUM,STANDARD_PARENT_CO_NAME,FEDERAL_FACILITY,INDUSTRY_SECTOR_CODE,INDUSTRY_SECTOR,DOC_CTRL_NUM,CHEMICAL,ELEMENTAL_METAL_INCLUDED,TRI_CHEMICAL_COMPOUND_ID,CLEAN_AIR_ACT_CHEMICAL,CLASSIFICATION,METAL,METAL_CATEGORY,CARCINOGEN,UNIT_OF_MEASURE,FUGITIVE_AIR,STACK_AIR,WATER,UNDERGROUND,UNDERGROUND_CL_I,UNDERGROUND_C_II_V,LANDFILL,RCRA_C_LANDFILL,OTHER_LANDFILLS,SURFACE_IMPNDMNT,RCRA_SURFACE_IM,OTHER_SURFACE_I,OTHER_DISPOSAL,ON_SITE_RELEASE_TOTAL,POTW_TOTAL_TRANSFERS,OFF_SITE_RELEASE_TOTAL,OFF_SITE_RECYCLED_TOTAL,OFF_SITE_ENERGY_RECOVERY_T,OFF_SITE_TREATED_TOTAL,UNCLASSIFIED,TOTAL_TRANSFER,TOTAL_RELEASES,RELEASES
2015,75650HWPRK2400F,110000458282,AMERICAN ELECTRIC POWER H.W. PIRKEY POWER PLANT,2400 FM-3251,HALLSVILLE,HARRISON,TX,75650,32.460267,-94.485225,NAD83,AMERICAN ELECTRIC POWER,6979868.0,AMERICAN ELECTRIC POWER,NO,2211,Electric Utilities,1315214490551,"Hydrochloric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)",NO,0007647010,YES,TRI,NO,Non_Metal,NO,Pounds,0.0,15000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15000.0,0.0
2015,75702LGLRL1702E,110000458488,DELEK TYLER REFINERY,1702 E COMMERCE ST,TYLER,SMITH,TX,75702,32.362643,-95.280179,NAD83,DELEK US HOLDINGS INC,624438219.0,DELEK US HOLDINGS INC,NO,324,Petroleum,1315213694553,Mercury,NO,0007439976,YES,PBT,YES,Elemental metals,NO,Pounds,0.0,15.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.3,2.43,2.433,0.0,0.0,0.0,0.0,2.433,17.733,0.0
2015,77571QNTMC1515M,110034641635,EQUISTAR CHEMICALS LP,1515 MILLER CUT OFF RD,LA PORTE,HARRIS,TX,77571,29.717471,-95.068008,NAD83,LYONDELLBASELL FINANCE CO,,LYONDELLBASELL FINANCE CO,NO,325,Chemicals,1315214230260,Cyclohexane,NO,0000110827,NO,TRI,NO,Non_Metal,NO,Pounds,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0
2015,7754WBLCBP231NB,110066943605,FREEPORT_OLIN BC,2301 N BRAZOSPORT BLVD,FREEPORT,BRAZORIA,TX,77541,28.969389,-95.379528,NAD83,OLIN CORP,1338086.0,OLIN CORP,NO,325,Chemicals,1315214306565,"1,3-Dichloropropylene",NO,0000542756,YES,TRI,NO,Non_Metal,YES,Pounds,988.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,988.0,0.0,0.0,0.0,0.0,715.0,0.0,715.0,988.0,0.0
2015,7611WSBRND575EI,110071041224,SABRE INDUSTRIES,5750 E I-20 HWY,FORT WORTH,TARRANT,TX,76119,32.667785,-97.234334,NAD83,TIGER ACQUISITION LLC,,TIGER ACQUISITION LLC,NO,332,Fabricated Metals,1315219394602,Manganese compounds,NO,N450,YES,TRI,YES,Metal complound categories,NO,Pounds,133.0,0.0,633.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,766.0,0.0,1695.0,11688.0,0.0,0.0,0.0,13383.0,2461.0,0.0
2015,77541THDWCBUILD,110008170237,DOW CHEMICAL CO FREEPORT FACILITY,2301 N BRAZOSPORT BLVD,FREEPORT,BRAZORIA,TX,775413257,28.980147,-95.342272,NAD83,THE DOW CHEMICAL CO,1381581.0,DOW INC,NO,325,Chemicals,1315214369427,Allyl chloride,NO,0000107051,YES,TRI,NO,Non_Metal,NO,Pounds,56.0,9.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,0.0,0.0,0.0,0.0,24.0,0.0,24.0,98.0,0.0
2015,77423MNRLF30595,110000462455,WESTLAKE ROYAL ROOFING - KATY,30595 FM529,BROOKSHIRE,WALLER,TX,77423,29.87426,-95.90094,NAD83,WESTLAKE CORP,783918485.0,WESTLAKE CORP,NO,327,Nonmetallic Mineral Product,1315213878960,Chromium compounds (except for chromite ore mined in the Transvaal Region),NO,N090,YES,TRI,YES,Metal complound categories,NO,Pounds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1561.0,0.0,0.0,0.0,0.0,1561.0,1561.0,0.0
2015,76804MCMPNCAMPB,110000599273,3M CO - BROWNWOOD,4501 HWY 377 S,BROWNWOOD,BROWN,TX,76801,31.671177,-98.996513,NAD83,3M CO,6173082.0,3M CO,NO,326,Plastics and Rubber,1315218664504,Barium compounds (except for barium sulfate (CAS No. 7727-43-7)),NO,N040,NO,TRI,NO,Metal complound categories,NO,Pounds,268.0,2072.0,483.0,0.0,0.0,0.0,0.0,0.0,15411.0,0.0,0.0,0.0,0.0,18234.0,108.0,34942.0,0.0,0.0,0.0,0.0,34942.0,53176.0,0.0
2015,78263WSMMR9599G,110000464916,CALAVERAS POWER STATION,12940 S US HIGHWAY 181,SAN ANTONIO,BEXAR,TX,78223,29.308764,-98.321969,NAD83,,,,NO,2211,Electric Utilities,1315213963337,"Sulfuric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)",NO,0007664939,NO,TRI,NO,Non_Metal,NO,Pounds,0.0,18785.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18785.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18785.0,0.0
2015,77041SHNKW11020,110001132462,INSTEEL WIRE PRODUCTS CO,11020 TANNER RD,HOUSTON,HARRIS,TX,77041,29.85031,-95.57215,NAD83,INSTEEL INDUSTRIES INC,3220225.0,INSTEEL INDUSTRIES INC,NO,331,Primary Metals,1315214105037,Zinc compounds,NO,N982,NO,TRI,YES,Metal complound categories,NO,Pounds,0.6,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.6,0.0,3554.0,0.0,0.0,0.0,0.0,3554.0,3608.6,0.0
