YEAR,TRIFD,FRS_ID,4. FACILITY NAME,5. STREET ADDRESS,CITY,COUNTY,8. ST,ZIP,LATITUDE,LONGITUDE,14. HORIZONTAL DATUM,PARENT_CO_NAME,PARENT_CO_DB_NUM,STANDARD_PARENT_CO_NAME,FEDERAL_FACILITY,INDUSTRY_SECTOR_CODE,INDUSTRY_SECTOR,DOC_CTRL_NUM,CHEMICAL,ELEMENTAL_METAL_INCLUDED,TRI_CHEMICAL_COMPOUND_ID,CLEAN_AIR_ACT_CHEMICAL,CLASSIFICATION,METAL,METAL_CATEGORY,CARCINOGEN,UNIT_OF_MEASURE,FUGITIVE_AIR,STACK_AIR,WATER,UNDERGROUND,UNDERGROUND_CL_I,UNDERGROUND_C_II_V,LANDFILL,RCRA_C_LANDFILL,OTHER_LANDFILLS,SURFACE_IMPNDMNT,RCRA_SURFACE_IM,OTHER_SURFACE_I,OTHER_DISPOSAL,ON_SITE_RELEASE_TOTAL,POTW_TOTAL_TRANSFERS,OFF_SITE_RELEASE_TOTAL,OFF_SITE_RECYCLED_TOTAL,OFF_SITE_ENERGY_RECOVERY_T,OFF_SITE_TREATED_TOTAL,UNCLASSIFIED,TOTAL_TRANSFER,TOTAL_RELEASES,RELEASES
2016,7608WDKTDS252CH,110034346795,DAKOTA DISTRIBUTING,2520 CHAMBERS ST,VENUS,JOHNSON,TX,76084,32.5275,-97.1063,NAD83,,,,NO,4246,Chemical Wholesalers,1316215390598,Ethylene glycol,NO,0000107211,YES,TRI,NO,Non_Metal,NO,Pounds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,77536RHMND6600L,110069500864,DEER PARK_TX (ROH),1900 TIDAL RD,DEER PARK,HARRIS,TX,77536,29.73,-95.102778,NAD83,DOW INC,117063457.0,DOW INC,NO,325,Chemicals,1316215468265,Methanol,NO,0000067561,YES,TRI,NO,Non_Metal,NO,Pounds,2679.0,20344.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23023.0,0.0,310.0,0.0,9933.0,15703.0,0.0,25946.0,23333.0,0.0
2016,77641KMCNC2450S,110000464042,MONUMENT CHEMICAL PORT ARTHUR LLC,2450 S GULFWAY DR,PORT ARTHUR,JEFFERSON,TX,77641,29.825641,-93.965034,NAD83,MONUMENT CHEMICAL LLC,833088284.0,MONUMENT CHEMICAL LLC,NO,325,Chemicals,1316215233370,n-Hexane,NO,0000110543,YES,TRI,NO,Non_Metal,NO,Pounds,2.32,13.488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.808,0.0
2016,77095CMRNF10825,110000462115,WYMAN-GORDON FORGINGS LP,10825 TELGE RD,HOUSTON,HARRIS,TX,77095,29.93301,-95.64954,NAD83,BERKSHIRE HATHAWAY INC,1024314.0,BERKSHIRE HATHAWAY INC,NO,331,Primary Metals,1316215790421,Manganese,NO,0007439965,YES,TRI,YES,Elemental metals,NO,Pounds,0.032,69.0,361.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,430.032,0.0,105.0,82509.0,0.0,0.0,0.0,82614.0,535.032,0.0
2016,77704MBLCHGULFS,110000464131,EXXONMOBIL OIL CORP CHEMICAL PLANT (PART),2775 GULF STATES RD,BEAUMONT,JEFFERSON,TX,77701,30.069957,-94.062144,NAD83,EXXON MOBIL CORP,1213214.0,EXXON MOBIL CORP,NO,325,Chemicals,1316215642517,Methyl tert-butyl ether,NO,0001634044,YES,TRI,NO,Non_Metal,NO,Pounds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,7933WDMNDT13SFM,110054184235,DIAMOND ETHANOL LLC,103 S FM 2646,LEVELLAND,HOCKLEY,TX,79336,33.588611,-102.262778,NAD83,CONESTOGA ENERGY PARTNERS LLC,612726377.0,CONESTOGA ENERGY PARTNERS LLC,NO,325,Chemicals,1316215466602,Toluene,NO,0000108883,YES,TRI,NO,Non_Metal,NO,Pounds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,77536SFTYK2027B,110000463365,CLEAN HARBORS DEER PARK LLC,2027 INDEPENDENCE PARKWAY SOUTH,LA PORTE,HARRIS,TX,77571,29.73028,-95.08981,NAD83,CLEAN HARBORS INC,157793639.0,CLEAN HARBORS INC,NO,562,Hazardous Waste,1316215653775,Mercury,NO,0007439976,YES,PBT,YES,Elemental metals,NO,Pounds,0.0,86.87,0.0,0.0,0.0,0.0,0.0,4319.0,0.0,0.0,0.0,0.0,0.0,4405.87,0.0,4.43,413.4,0.0,0.0,0.0,417.83,4410.3,0.0
2016,77480PHLLPFM14A,110041921034,PHILLIPS 66 CO FREEPORT I TERMINAL,FM 1495,FREEPORT,BRAZORIA,TX,77541,29.072278,-95.744703,NAD83,PHILLIPS 66,78378508.0,PHILLIPS 66 CO,NO,4247,Petroleum Bulk Terminals,1316215513399,Toluene,NO,0000108883,YES,TRI,NO,Non_Metal,NO,Pounds,120.0,420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,540.0,0.0,0.0,3840.0,0.0,0.0,0.0,3840.0,540.0,0.0
2016,7747WFRMNR12735,110046123048,FORUM ENERGY TECHNOLOGIES- VALVE SOLUTIONS PBV,12735 DAIRY ASHFORD ROAD,STAFFORD,FORT BEND,TX,77477,29.63429,-95.59682,NAD83,FORUM ENERGY TECHNOLOGIES,617522482.0,FORUM ENERGY TECHNOLOGIES,NO,332,Fabricated Metals,1316215739576,Nickel,NO,0007440020,YES,TRI,YES,Elemental metals,YES,Pounds,0.0,0.001,0.126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028,0.155,0.0,0.0,5506.3,0.0,0.0,0.0,5506.3,0.155,0.0
2016,77026WRGRC4750B,110000461269,W. R. GRACE & CO CONN,4750 BLAFFER ST,HOUSTON,HARRIS,TX,77026,29.80522,-95.30584,NAD83,W R GRACE & CO,1367846.0,W R GRACE & CO,NO,4246,Chemical Wholesalers,1316215385093,Vanadium (except when contained in an alloy),NO,0007440622,NO,TRI,NO,Metals with qualifiers,NO,Pounds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.76,0.0,0.0,0.0,0.0,2.76,2.76,0.0
